word	pos	pos2	phoneme	alt	alt2	tag
가	JKS		VO			
가	JKC		VO			
같이	JKB		NUL			
같이나	JSE	같이/JKB+나/JX	NUL			
같이는	JSE	같이/JKB+는/JX	NUL			
같이는야	JSE	같이/JKB+는/JX+야/JX	NUL		같이/JKB+는/JX	
같이는커녕	JSE	같이/JKB+는/JX+커녕/JX	NUL			
같이도	JSE	같이/JKB+도/JX	NUL			
같이두	JSE	같이/JKB+두/JX	NUL	같이/JKB+도/JX		구어
같이만	JSE	같이/JKB+만/JX	NUL			
같인	JSE	같이/JKB+ㄴ/JX	NUL			
게	JKB		VO	에게/JKB		
게는	JSE	게/JKB+는/JX	NUL	에게/JKB+는/JX		
고	JKQ		VO			
고	JC		VO	이고/JC	과/JC	
고	JX		VO	이고/JX	과/JX	
과	JC		VO			
과	JKB		VO			
과는	JSE	과/JC+는/JX	VO			
과는커녕	JSE	과/JC+는커녕/JX	VO			
과도	JSE	과/JC+도/JX	VO			
과두	JSE	과/JC+두/JX	VO	과/JC+도/JX		구어
과를	JSE	과/JC+를/JKO	VO			
과만	JSE	과/JC+만/JX	VO			
과만은	JSE	과/JC+만/JX+은/JX	VO			
과의	JSE	과/JC+의/JKG	VO			
까지	JX		NUL			
까지가	JSE	까지/JX+가/JKS	NUL			
까지가	JSE	까지/JX+가/JKC	NUL			
까지나	JSE	까지/JX+나/JX	NUL			
까지나마	JSE	까지/JX+나마/JX	NUL			
까지는	JSE	까지/JX+는/JX	NUL			
까지는야	JSE	까지/JX+는/JX+야/JX	NUL			
까지는커녕	JSE	까지/JX+는/JX+커녕/JX	NUL			
까지도	JSE	까지/JX+도/JX	NUL			
까지두	JSE	까지/JX+두/JX	NUL	까지/JX+도/JX		
까지든지	JSE	까지/JX+든지/JX	NUL			
까지라고	JSE	까지/JX+라고/JX	NUL			
까지라고는	JSE	까지/JX+라고/JX+는/JX	NUL			
까지라고만은	JSE	까지/JX+라고/JX+만은/JX	NUL			
까지라도	JSE	까지/JX+라도/JX	NUL			
까지로	JSE	까지/JX+로/JX	NUL			
까지로나	JSE	까지/JX+로/JX+나/JX	NUL			
